Filtro:,Over 1.5,
,,
1,Tigres UANL vs Pachuca CF,México Liga MX
2,Puebla FC vs Club América,México Liga MX
3,Athletic Bilbao vs Elche,España La Liga
4,Mainz vs Hamburger SV,Alemania Bundesliga
5,AD Ceuta vs Granada,España Segunda Division
6,Bochum vs Nürnberg,Alemania 2. Bundesliga
7,Greuther Fürth vs Arminia Bielefeld,Alemania 2. Bundesliga
8,Sassuolo vs Verona,Italia Serie A
9,Frosinone vs Empoli,Italia Serie B
10,Brest vs Olympique Marseille,Francia Ligue 1
11,US Boulogne vs Clermont,Francia Ligue 2
12,AS Nancy vs Grenoble,Francia Ligue 2
13,Fortuna Sittard vs Excelsior,Países Bajos Eredivisie
14,Willem II Tilburg vs Vitesse,Países Bajos Eerste Divisie
15,De Graafschap vs Jong Utrecht,Países Bajos Eerste Divisie
16,Helmond Sport vs ADO Den Haag,Países Bajos Eerste Divisie
17,FC Dordrecht vs Jong Ajax,Países Bajos Eerste Divisie
18,VVV Venlo vs TOP Oss,Países Bajos Eerste Divisie
19,Cambuur vs Waalwijk,Países Bajos Eerste Divisie
20,Rizespor vs Kocaelispor,Turquía Süper Lig
21,Gent vs Cercle Brugge,Belgica Jupiler Pro League
22,VfB Stuttgart II vs Waldhof Mannheim,Alemania 3. Liga
23,Magdeburg II vs RW Erfurt,Alemania 3. Liga
24,Bayern Munchen II vs Unterhaching,Alemania Regionalliga Bayern
25,Audace Cerignola vs Virtus Casarano,Italia Serie C
26,Aubagne FC vs US Quevilly,Francia National
27,Villefranche vs Dijon FCO,Francia National
28,Leixões SC vs FC Vizela,Portugal Liga Portugal 2
29,Raith Rovers vs St Johnstone,Escocia Championship
30,Veres Rivne vs SC Poltava,Ucrania Premier League
31,Dynamo Kyiv vs Rukh Vynnyky,Ucrania Premier League
32,Floridsdorfer AC vs Bregenz,Austria 2. Liga
33,Austria Lustenau vs Kapfenberg,Austria 2. Liga
34,First Vienna vs St Polten,Austria 2. Liga
35,Parndorf vs Oberwart,Austria Regionalliga East
36,Favoritner AC vs Union Mauer,Austria Regionalliga East
37,FCM Traiskirchen vs SV Gloggnitz,Austria Regionalliga East
38,Wiener SK vs SC Retz,Austria Regionalliga East
39,Kremser SC vs SC Neusiedl,Austria Regionalliga East
40,RFC Liège vs Club Brugge II,Belgica Challenger Pro League
41,RSC Anderlecht II vs KRC Genk II,Belgica Challenger Pro League
42,Cherno More Varna vs Botev Vratsa,Bulgaria Parva Liga
43,Vukovar '91 vs Slaven Belupo,Croacia HNL
44,FC Nordsjælland vs Vejle BK,Dinamarca Superliga
45,Waterford United vs Sligo Rovers,Irlanda Premier League
46,Dundalk FC vs Drogheda Utd,Irlanda Premier League
47,Kerry vs Athlone Town,Irlanda First Division
48,Finn Harps vs UCD Dublin,Irlanda First Division
49,Treaty United vs Bray Wanderers,Irlanda First Division
50,Wexford Youths vs Cork City,Irlanda First Division
51,Academy Pandev vs Rabotnicki Skopje,Macedonia del Norte Prva liga
52,Piast Gliwice vs Motor Lublin,Polonia Ekstraklasa
53,Widzew Lodz vs Cracovia,Polonia Ekstraklasa
54,Gornik Leczna vs GKS Tychy,Polonia 1. Liga
55,Wisla Krakow vs Wieczysta Kraków,Polonia 1. Liga
56,Otelul Galati vs UTA Arad,Rumania Divizia A
57,Rapperswil vs AC Bellinzona,Suiza Challenge League
58,Étoile Carouge vs Yverdon-Sport,Suiza Challenge League
59,FC Stade Nyonnais vs FC Aarau,Suiza Challenge League
60,The New Saints vs Caernarfon Town,País de Gales Premier
61,Unión La Calera vs Ñublense,Chile Primera Division
62,Deportes Concepción vs Cobresal,Chile Primera Division
63,San Marcos Arica vs Deportes Santa Cruz,Chile Primera B
64,Orense SC vs LDU,Ecuador Serie A
65,Libertad vs Club Rubio Ñu,Paraguay Primera Division
66,2 de Mayo vs Deportivo Recoleta,Paraguay Primera Division
67,Alianza Lima vs Sport Boys,Perú Primera División
68,Tepatitlán de Morelos vs CD Irapuato,México Liga de Expansion MX
69,Dorados Sinaloa vs Monarcas Morelia,México Liga de Expansion MX
70,Turan Tovuz vs Zira,Azerbaiyán Premier League
71,Sumqayit FK vs Gabala FC,Azerbaiyán Premier League
72,EN Paralimni vs AEL Limassol,Chipre First Division
73,Zamalek SC vs Haras Al Hodoud,Egipto Premier League
74,Ismaily vs Wadi Degla SC,Egipto Premier League
75,Pyramids vs Ceramica Cleopatra,Egipto Premier League
76,Persija Jakarta vs PSM Makassar,Indonesia Liga 1
77,Newroz SC (IRQ) vs Najaf FC,Irak Stars League
78,Gharraf vs Duhok SC,Irak Stars League
79,Hapoel Afula vs Maccabi Kabilio Jaffa,Israel Liga Leumit
80,Hapoel Rishon Lezion vs Hapoel Kfar Saba,Israel Liga Leumit
81,Hapoel Raanana vs Hapoel Acre,Israel Liga Leumit
82,Buqa'a Amman vs Faisaly Amman,Jordán Premier League
83,Yangon United vs Shan United,Myanmar National League
84,Al Shabab (Oman) vs Al Khaburah,Omán Professional League
85,Sailiya SC vs Umm Salal SC,Katar Stars League
86,Shahaniya SC vs Qatar SC,Katar Stars League
87,Damak vs Shabab Riyadh,Arabia Saudita Professional League
88,Al Arabi (KSA) vs Abha Club,Arabia Saudita 1st Division
89,Al Dir'iya vs Al Oruba (KSA),Arabia Saudita 1st Division
90,Al Ula vs Al Ta'i,Arabia Saudita 1st Division
91,Al Dhafra vs Al Ahli Dubai,EAU Football League
92,Wahda Abu Dhabi vs Jazira Abu Dhabi,EAU Football League
93,Ajman Club vs Sharjah SC,EAU Football League
94,Al Hamriyah vs Masfoot,EAU Division 1
95,Al Thaid vs Gulf United,EAU Division 1
96,ES Sétif vs MB Rouisset,Argelia Ligue 1
97,Adelaide United vs Perth Glory,Australia A-League
98,Wellington Phoenix vs Auckland,Australia A-League
99,Sydney FC vs Brisbane Roar,Australia A-League
